ORDEM;LOTE;PRODUTO;SITUACAO;COR;DESENHO;VARIANTE;CATEGORIA;NRO_ROLO;METROS;PESO_BRUTO;PESO_LIQUIDO;LARGURA;NRO;ROLO_PL;NRO_PECA;AVISO;FORNECEDOR;TEAR;Num_Etq_Aux
000014;T237L4;000014;001;00005;00000;00000;01;0000266339;100,8;30,9;30,5;1,40;77;77;001;000249;W;000077;W000077266339001
000014;T237L4;000014;001;00005;00000;00000;01;0000266340;74,1;22,9;22,5;1,40;78;78;001;000249;W;000078;W000078266340001
000014;T237L4;000014;001;00005;00000;00000;01;0000266341;108;33,1;32,7;1,40;79;79;001;000249;W;000079;W000079266341001
000014;T237L4;000014;001;00005;00000;00000;01;0000266342;55,8;17,3;16,9;1,40;80;80;001;000249;W;000080;W000080266342001
000014;T237L4;000014;001;00005;00000;00000;01;0000266343;102,8;31,6;31,2;1,40;81;81;001;000249;W;000081;W000081266343001
000014;T237L4;000014;001;00005;00000;00000;01;0000266344;72,6;22,4;22,0;1,40;82;82;001;000249;W;000082;W000082266344001
000014;T237L4;000014;001;00005;00000;00000;01;0000266345;100,3;30,8;30,4;1,40;83;83;001;000249;W;000083;W000083266345001
000014;T237L4;000014;001;00005;00000;00000;01;0000266346;98,3;30,2;29,8;1,40;84;84;001;000249;W;000084;W000084266346001
000014;T237L4;000014;001;00005;00000;00000;01;0000266347;87,6;26,9;26,5;1,40;85;85;001;000249;W;000085;W000085266347001
000014;T237L5;000014;001;00005;00000;00000;01;0000266348;104,2;32,0;31,6;1,40;86;86;001;000249;W;000086;W000086266348001
000014;T237L5;000014;001;00005;00000;00000;01;0000266349;98,7;30,3;29,9;1,40;87;87;001;000249;W;000087;W000087266349001
000014;T237L5;000014;001;00005;00000;00000;01;0000266350;88,5;27,2;26,8;1,40;88;88;001;000249;W;000088;W000088266350001
000014;T237L5;000014;001;00005;00000;00000;01;0000266351;95,6;29,4;29,0;1,40;89;89;001;000249;W;000089;W000089266351001
000014;T237L5;000014;001;00005;00000;00000;01;0000266352;84,3;25,9;25,5;1,40;90;90;001;000249;W;000090;W000090266352001
000014;T237L5;000014;001;00005;00000;00000;01;0000266353;100,3;30,8;30,4;1,40;91;91;001;000249;W;000091;W000091266353001
000014;T237L5;000014;001;00005;00000;00000;01;0000266354;60,1;18,6;18,2;1,40;92;92;001;000249;W;000092;W000092266354001
000014;T237L5;000014;001;00005;00000;00000;01;0000266355;97,3;29,9;29,5;1,40;93;93;001;000249;W;000093;W000093266355001
000014;T237L5;000014;001;00005;00000;00000;01;0000266356;91,4;28,1;27,7;1,40;94;94;001;000249;W;000094;W000094266356001
000014;T237L5;000014;001;00005;00000;00000;01;0000266357;99,9;30,7;30,3;1,40;95;95;001;000249;W;000095;W000095266357001
000014;T237L5;000014;001;00005;00000;00000;01;0000266358;89,7;27,6;27,2;1,40;96;96;001;000249;W;000096;W000096266358001
000014;T237L5;000014;001;00005;00000;00000;01;0000266359;101,7;31,2;30,8;1,40;97;97;001;000249;W;000097;W000097266359001
000014;T237L5;000014;001;00005;00000;00000;01;0000266360;95;29,2;28,8;1,40;98;98;001;000249;W;000098;W000098266360001
000014;T237L5;000014;001;00005;00000;00000;01;0000266361;100,6;30,9;30,5;1,40;99;99;001;000249;W;000099;W000099266361001
000014;T237L5;000014;001;00005;00000;00000;01;0000266362;97,1;29,8;29,4;1,40;100;100;001;000249;W;000100;W000100266362001
000014;T237L5;000014;001;00005;00000;00000;01;0000266363;98,9;30,4;30,0;1,40;101;101;001;000249;W;000101;W000101266363001
000014;T237L5;000014;001;00005;00000;00000;01;0000266364;90,3;27,8;27,4;1,40;102;102;001;000249;W;000102;W000102266364001
000014;T237L5;000014;001;00005;00000;00000;01;0000266365;98,8;30,3;29,9;1,40;103;103;001;000249;W;000103;W000103266365001
000014;T237L5;000014;001;00005;00000;00000;01;0000266366;92,1;28,3;27,9;1,40;104;104;001;000249;W;000104;W000104266366001
000014;T237L6;000014;001;00005;00000;00000;01;0000266367;99,8;30,6;30,2;1,40;105;105;001;000249;W;000105;W000105266367001
000014;T237L6;000014;001;00005;00000;00000;01;0000266368;89,2;27,4;27,0;1,40;106;106;001;000249;W;000106;W000106266368001
000014;T237L6;000014;001;00005;00000;00000;01;0000266369;99,5;30,6;30,2;1,40;107;107;001;000249;W;000107;W000107266369001
000014;T237L6;000014;001;00005;00000;00000;01;0000266370;84,3;25,9;25,5;1,40;108;108;001;000249;W;000108;W000108266370001
000014;T237L6;000014;001;00005;00000;00000;01;0000266371;100,6;30,9;30,5;1,40;109;109;001;000249;W;000109;W000109266371001
000014;T237L6;000014;001;00005;00000;00000;01;0000266372;89,4;27,5;27,1;1,40;110;110;001;000249;W;000110;W000110266372001
000014;T237L6;000014;001;00005;00000;00000;01;0000266373;104,5;32,1;31,7;1,40;111;111;001;000249;W;000111;W000111266373001
000014;T237L6;000014;001;00005;00000;00000;01;0000266374;93,2;28,6;28,2;1,40;112;112;001;000249;W;000112;W000112266374001
000014;T237L6;000014;001;00005;00000;00000;01;0000266375;99,8;30,6;30,2;1,40;113;113;001;000249;W;000113;W000113266375001
000014;T237L6;000014;001;00005;00000;00000;01;0000266376;90,7;27,9;27,5;1,40;114;114;001;000249;W;000114;W000114266376001
000014;T237L6;000014;001;00005;00000;00000;01;0000266377;109,5;33,6;33,2;1,40;115;115;001;000249;W;000115;W000115266377001
000014;T237L6;000014;001;00005;00000;00000;01;0000266378;84,9;26,1;25,7;1,40;116;116;001;000249;W;000116;W000116266378001
000014;T237L6;000014;001;00005;00000;00000;01;0000266379;93;28,6;28,2;1,40;117;117;001;000249;W;000117;W000117266379001
000014;T237L6;000014;001;00005;00000;00000;01;0000266380;70,2;21,7;21,3;1,40;118;118;001;000249;W;000118;W000118266380001
000014;T237L6;000014;001;00005;00000;00000;01;0000266381;102,9;31,6;31,2;1,40;119;119;001;000249;W;000119;W000119266381001
000014;T237L6;000014;001;00005;00000;00000;01;0000266382;77,2;23,8;23,4;1,40;120;120;001;000249;W;000120;W000120266382001
000014;T237L6;000014;001;00005;00000;00000;01;0000266383;99,1;30,4;30,0;1,40;121;121;001;000249;W;000121;W000121266383001
000014;T237L6;000014;001;00005;00000;00000;01;0000266384;95,1;29,2;28,8;1,40;122;122;001;000249;W;000122;W000122266384001
000014;T237L6;000014;001;00005;00000;00000;01;0000266385;99,6;30,6;30,2;1,40;123;123;001;000249;W;000123;W000123266385001
000014;T237L6;000014;001;00005;00000;00000;01;0000266386;94,3;29,0;28,6;1,40;124;124;001;000249;W;000124;W000124266386001
000014;T237L7;000014;001;00005;00000;00000;01;0000266387;99,3;30,5;30,1;1,40;125;125;001;000249;W;000125;W000125266387001
000014;T237L7;000014;001;00005;00000;00000;01;0000266388;89,6;27,6;27,2;1,40;126;126;001;000249;W;000126;W000126266388001
000014;T237L7;000014;001;00005;00000;00000;01;0000266389;102,4;31,4;31,0;1,40;127;127;001;000249;W;000127;W000127266389001
000014;T237L7;000014;001;00005;00000;00000;01;0000266390;111;34,0;33,6;1,40;128;128;001;000249;W;000128;W000128266390001
000014;T237L7;000014;001;00005;00000;00000;01;0000266391;104,4;32,0;31,6;1,40;129;129;001;000249;W;000129;W000129266391001
000014;T237L7;000014;001;00005;00000;00000;01;0000266392;95,4;29,3;28,9;1,40;130;130;001;000249;W;000130;W000130266392001
